,Name ,Client,Description,Comments,Tags,Link,Additional Prompt ,old images,image,image,image with scroll bar,morning images
1,QC Agent,Springer,"Consumer Service QC Assistant: GenAI enabled tool for ensuring the quality and compliance of customer service interactions through monitoring, evaluation, and feedback to enhance customer satisfaction.","Please add some emails to the sheet. Remove DPD name from these emails. Right now we cannot demo this as-is, and willl need default data in it. Also the Output Sheet required access rights. This should be available to all, as anyone can do the demo","LLM, GenAI",https://script.google.com/a/macros/straive.com/s/AKfycbxftnIwzQGaNdOC_pC261Vdrjch4ggJvmcw9Klx38vRGX7p3hUQhxsfW-zJXCe2DOa1/exec,,https://raw.githubusercontent.com/badal0091/solution-page/main/Screenshot 2025-01-16 130407.png,https://drive.google.com/file/d/1R4DyJ9DTgh3ppgrO0Jr-ybnG-Mxu9X8J/view?usp=drive_link,https://drive.google.com/file/d/1CNAv466KCgsFF8ieoq9x2Wytau28PwTh/view?usp=drive_link,https://drive.google.com/file/d/13CwHDgK7Rk7rvYEM7OhZKj8p9dRnB_O5/view?usp=drive_link,https://drive.google.com/file/d/1S38jpcmybFGu6tsym39Vct6853-sVORQ/view?usp=drive_link
2,Email Assist Agent,Springer,Utilize generative AI to summarize the content of the provided consumer email and extract actionable items.,Please add the simple version of this. Have added. This is on Gramener Solution page,"LLM, GenAI",https://script.google.com/a/macros/straive.com/s/AKfycbwzIhLiISFk_WJAMVF0FKcvyTaaJttf28NnhVHqMcpHmnyRjYHKm_p3yu5cOcbsL7laVw/exec,,https://raw.githubusercontent.com/Harshith-Vajinepalli/screenshots_of_pages/main/Screenshot%20(1246).png,https://drive.google.com/file/d/1c1YQqCT--46Z-sg-bMAkzYUE3Prykbqa/view?usp=drive_link,https://drive.google.com/file/d/13mgx1QgVEGSoi9T0dZMBL1JwJ68-VdCM/view?usp=drive_link,https://drive.google.com/file/d/1sb1DOlq0t5548Qw5t1ahREPZ5DaYXQ4H/view?usp=drive_link,https://drive.google.com/file/d/1ZCoJzWFHwqF_knWC5EcRtJzsgz5p_Vyh/view?usp=drive_link
3,Email Agent with user ID and JWT Token,Elsevier,Utilize generative AI to summarize the content of the provided consumer email and extract actionable items. Additionally provides id based access.,,"LLM, GenAI",https://script.google.com/a/macros/straive.com/s/AKfycbxlKzkNYoG92xHNFvyOyZY4PXUJG4O-XNUbYB-Nrgsr9xNbY41eHPhBJAeOcFHDyaJs/exec,,https://raw.githubusercontent.com/Harshith-Vajinepalli/screenshots_of_pages/main/Screenshot%20(1247).png,https://drive.google.com/file/d/1fQMQNBLE--A09r2T5sjOGxTpeKkkh3j1/view?usp=drive_link,https://drive.google.com/file/d/1Wt0m0vK_MLhRH09vVfKtpzZyczbzgSUF/view?usp=drive_link,https://drive.google.com/file/d/1rtdO0GS7uL2cSy9KpIGBkmbeG4-SI5Ad/view?usp=drive_link,https://drive.google.com/file/d/1TYiVG6ajfHjqWz7-UVWoHSR0Au16csu3/view?usp=sharing
4,Email Agent with Prompts,Elsevier,Utilize generative AI to summarize the content of the provided consumer email and extract actionable items. Additionally provides option to provide prompts .,,"LLM, GenAI",https://script.google.com/a/macros/straive.com/s/AKfycbx3ykyuDliepv2jPDoOQL_Tq9fwcb3TRXSGXwzfPZyTHh8gkGi7ghyzGkzQBvlSYBm0/exec,,https://raw.githubusercontent.com/Harshith-Vajinepalli/screenshots_of_pages/main/Screenshot%20(1247).png,https://drive.google.com/file/d/1SQQgp612Jwqifw8yuv-jJLqSXkgS81QJ/view?usp=drive_link,https://drive.google.com/file/d/1MZaK3_SulD6FU-s1r3Y_IYrdvyqBoBLp/view?usp=drive_link,https://drive.google.com/file/d/1fSDP18zbw8cGP7EKDgIRYKUGmXu265Tm/view?usp=drive_link,https://drive.google.com/file/d/1XtVByctGNRgK7FpUyUxYWynd84an11Qs/view?usp=drive_link
5,Email Agent with Investigation Input,,Utilize generative AI to summarize the content of the provided consumer email and extract actionable items. Additionally provides option to investigate input with more prompts.,Please add this version - This should become our standard Demo,"LLM, GenAI",,,https://raw.githubusercontent.com/Harshith-Vajinepalli/screenshots_of_pages/main/Screenshot%20(1248).png,https://drive.google.com/file/d/1V2TURZmiKUBcGUCFAqHvAaRRRyETmp8G/view?usp=drive_link,https://drive.google.com/file/d/1hFsy2bV3WTnu3hwEtp5qMiU_lcbBYi1d/view?usp=drive_link,https://drive.google.com/file/d/1RrW0LxCEOS3VPJFeIkek0cIe8IcgGoHm/view?usp=drive_link,https://drive.google.com/file/d/1KrxVK_eMVqEYpMxfuCTvNDVxULQRPAdK/view?usp=drive_link
6,Image Analysis,,"Utilizing large language models for the automated analysis and classification of asset classes including Traffic Lights, Street Lights, Hydrants, Street Signs, Crosswalks, and Trees in urban environments.",,"LLM, GenAI",https://script.google.com/a/macros/straive.com/s/AKfycbxTB9kST68zG3ksSl7fau9VmwzpLbTjOtdTziuFSkPMQc_1S-aSurtPa1dauyGw8Eb6/exec,,https://raw.githubusercontent.com/Harshith-Vajinepalli/screenshots_of_pages/main/Screenshot%20(1249).png,https://drive.google.com/file/d/1qaiaggHeZxTL8e4wgQXiGKjISLl0ZERO/view?usp=drive_link,https://drive.google.com/file/d/1CyD5sbXwk-Opgrypbn0NiiI52Zlpoabe/view?usp=drive_link,https://drive.google.com/file/d/1Zo5fFN2k04-DCIbVcI_CkG8tP55Do94m/view?usp=drive_link,https://drive.google.com/file/d/1Yakulapcwo8-USunZzTp6xWdDXhX7Sis/view?usp=sharing
7,Demo PDF Email Data Extraction and Analysis,,,,"LLM, GenAI",https://docs.google.com/spreadsheets/d/1Kym5XAauVTWHscStioa7rq5LZCFiDtaBvFJqIMT9oX8/edit?usp=drive_link,,https://raw.githubusercontent.com/Harshith-Vajinepalli/screenshots_of_pages/main/Screenshot%20(1250).png,https://drive.google.com/file/d/1z7zGeaNzAg81hXCn31IP8Tf9hlRRB3OY/view?usp=drive_link,https://drive.google.com/file/d/1iuR5HxTgybySnog4gQBTeqRxeG_ILTzZ/view?usp=drive_link,https://drive.google.com/file/d/1iuR5HxTgybySnog4gQBTeqRxeG_ILTzZ/view?usp=drive_link,https://drive.google.com/file/d/1iuR5HxTgybySnog4gQBTeqRxeG_ILTzZ/view?usp=drive_link
8,Fraud call handling Call Training,UOB,Comprehensive training program for customer care team focused on effectively managing and mitigating fraud calls using advanced language model techniques,Upload audio(functionality doesnt exist)--creates transcript in input transcript format--analyse to get the response which is feedback from trainer to agent on how agent handled the call while talking to the defrauded customer-- convert the conversation into audio.,"LLM, GenAI",https://script.google.com/a/macros/straive.com/s/AKfycbxmRxF5SOWWQpbXRc3oF9-hQxqq7_LCP8tg-LnMpMFMGp2VAsxQS8OdndiAHrCzzTNW/exec,,https://raw.githubusercontent.com/Harshith-Vajinepalli/screenshots_of_pages/main/Screenshot%20(1251).png,https://drive.google.com/file/d/138WhxvbD79MXv3Ezz_WnPSLORJUra1Cc/view?usp=drive_link,https://drive.google.com/file/d/1XqRmNLH3T8NqoPt1MZ1Wxs4X7lfxV9UX/view?usp=drive_link,https://drive.google.com/file/d/1rwIaBoNAQAltVw8pnOq4QjLrDpF-gQ8n/view?usp=drive_link,https://drive.google.com/file/d/1eMgcFcCBpMczrgpFyJ2exUGPRQhvLYUS/view?usp=sharing
9,AI Security tool,SCB,"An AI-driven security tool utilizing large language models to monitor and protect email communications, ensuring sensitive data remains secure and prevents unauthorized transmission","1. we have created 2 email samples where mail sent by bank employee is flagged as data leakage by the traditional ai. LLM model is used to flag the mails as false positive or false negative.2. We have log samples where LLM shows weightage to all the mails which can be potential data leakage mails and which are not.","LLM, GenAI",https://script.google.com/a/macros/straive.com/s/AKfycbzb31Yw-ytsREsWJ7zo2CYzSArF16Ljif9a7NLGk8LgPqW2AE-1sh57L7yBjQk3YooR/exec,,https://raw.githubusercontent.com/Harshith-Vajinepalli/screenshots_of_pages/main/Screenshot%20(1252).png,https://drive.google.com/file/d/1Uapja-4n1CyxE5M6NKL8GmiyytNbkvZC/view?usp=drive_link,https://drive.google.com/file/d/1rpcTGJFJhiKzK4-HCSxr70bMciiUKs7i/view?usp=drive_link,https://drive.google.com/file/d/1_zT3IBd9Tr0fXIfsXjdbLWAq39Jzq7rx/view?usp=drive_link,https://drive.google.com/file/d/1lhDQbUiT_XT1Oqs2RoWKKbGrJFfLsEKF/view?usp=sharing
10,Regulatory Complaint Investigation,LN Risk,"AI-enabled solution for extracting key information, generating summaries, and identifying action items from PDF documents and images",,"LLM, GenAI",https://script.google.com/a/macros/straive.com/s/AKfycbxbIU_Vy-yiK1DlUpcAdKwf3D9J-g-c3uUzvq2Frs93EE442FUvbUPqWjFVDYdZGS8ITQ/exec,"Mention the details in the draft response,  that the user  can track their complaint by quoting the Case Number - ABC345. ",https://raw.githubusercontent.com/badal0091/solution-page/main/Screenshot 2025-01-16 130931.png,https://drive.google.com/file/d/1zTroY_7M0j9HwbsFDf_SoSL0GpQDSVQB/view?usp=drive_link,https://drive.google.com/file/d/1rsQXK0GzEtXoDjf7CEORWZh32X-R_qDb/view?usp=drive_link,https://drive.google.com/file/d/1QNglnvNwzjON8fddzHazCZUHDj8t9eqP/view?usp=drive_link,https://drive.google.com/file/d/1irNSqsy4lDoZQlCu3EFH66I_vpDGJ2BK/view?usp=drive_link
